generic_name,total_cost15,numrx15,avg_cost15,total_cost14,numrx14,avg_cost14
LEDIPASVIR/SOFOSBUVIR,5797022000.0699835,186705,31049.09884614758,306002314.90999985,9536.0,32089.168929320454
"INSULIN GLARGINE,HUM.REC.ANLOG",3765346451.2700734,7672582,490.75349748886015,3217972137.740008,7532423.0,427.2160681549626
ROSUVASTATIN CALCIUM,2630879077.429989,7998737,328.91181163100987,2331377148.2900286,8362739.0,278.78152699612275
FLUTICASONE/SALMETEROL,2063767539.5899916,5148672,400.834922012898,2079287259.4600089,5576061.0,372.89535739655804
ARIPIPRAZOLE,1981328511.9000127,2363167,838.4208614541473,2239820894.2199893,2639809.0,848.4783915124121
TIOTROPIUM BROMIDE,1976367230.9199903,4960487,398.4220160077005,1906646431.9500103,5200500.0,366.62752272858575
ESOMEPRAZOLE MAGNESIUM,1852495850.409984,5302823,349.34144519060584,2359320139.0500016,6783462.0,347.80472552953074
SITAGLIPTIN PHOSPHATE,1849978509.7200084,4094280,451.84464905185,1542275770.8800151,3987274.0,386.7995454739291
LENALIDOMIDE,1840872399.090002,181779,10126.980559305543,1466439318.810001,156715.0,9357.364124748754
PREGABALIN,1485247128.2999985,4050417,366.6899305182648,1175480873.3900087,3825580.0,307.2686686437112
MEMANTINE HCL,1423181408.190012,5803336,245.2350524232979,1639211930.119947,6557467.0,249.97639029215807
INSULIN DETEMIR,1385759939.1899936,2718663,509.72111629502945,878626445.389999,2090948.0,420.20482833145496
RIVAROXABAN,1268691792.6600108,3229649,392.8265246966499,895385164.780011,2625504.0,341.0336319350536
ADALIMUMAB,1266040625.1800044,314922,4020.172059049556,1030344003.1299943,305181.0,3376.1734941886757
INSULIN ASPART,1260921351.2999961,2569386,490.7481208740127,990864774.3699939,2464519.0,402.05199244558224
GLATIRAMER ACETATE,1205616209.119999,209728,5748.475211321325,1052080825.6499957,195896.0,5370.609025452259
ETANERCEPT,1188641877.360005,318054,3737.2329144107757,1027562492.5500007,327029.0,3142.1142851245627
SEVELAMER CARBONATE,1129363573.5099993,873197,1293.366300514087,812300654.1300002,798217.0,1017.643891485649
OXYCODONE HCL,1074747663.5399923,7728344,139.06571233630288,1101476925.5599873,7055077.0,156.12542932699208
