generic_name,drug_name,num_claims,total_cost
0.9 % SODIUM CHLORIDE,SODIUM CHLORIDE,115229,2600163.889999991
AA 3%/ELECTROLYTE-TPN SOLN/GLY,PROCALAMINE,14,1171.97
AA 3.31 %/D9.8W/FAT/ELECT #10,KABIVEN,11,3030.32
AA 4.25%/CALCIUM/LYTES/D25W,CLINIMIX E,29,16328.73
AA 4.25%/CALCIUM/LYTES/DEX 10%,CLINIMIX E,64,22357.94
AA 5 %/CALCIUM/LYTES/DEXT 15 %,CLINIMIX E,180,56308.520000000004
AA 5 %/CALCIUM/LYTES/DEXT 20 %,CLINIMIX E,12,2220.0
ABACAVIR SULFATE,ABACAVIR,53510,18790645.689999983
ABACAVIR SULFATE,ZIAGEN,1217,563327.0099999998
ABACAVIR SULFATE/LAMIVUDINE,EPZICOM,152820,184489784.65999946
ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,TRIUMEQ,79263,182816028.83000007
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,ABACAVIR-LAMIVUDINE-ZIDOVUDINE,7678,10171675.909999996
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,TRIZIVIR,1015,1590302.69
ABATACEPT,ORENCIA,32284,109815572.98000005
ABATACEPT/MALTOSE,ORENCIA,4071,10304287.489999998
ABIRATERONE ACETATE,ZYTIGA,78577,617333246.3500009
ABOBOTULINUMTOXINA,DYSPORT,88,105380.79000000001
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,9032,1314229.2999999989
ACAMPROSATE CALCIUM,CAMPRAL,12,1253.89
ACARBOSE,ACARBOSE,128797,6847162.870000004
ACARBOSE,PRECOSE,34,3923.3599999999997
ACEBUTOLOL HCL,ACEBUTOLOL HCL,59909,1057749.65
ACEBUTOLOL HCL,SECTRAL,133,29528.9
ACETAMINOPHEN WITH CODEINE,ACETAMINOPHEN-CODEINE,2681519,34420421.2199999
ACETAMINOPHEN WITH CODEINE,TYLENOL-CODEINE NO.3,360,27303.93
ACETAMINOPHEN WITH CODEINE,TYLENOL-CODEINE NO.4,424,102947.20999999996
ACETAZOLAMIDE,ACETAZOLAMIDE,164248,19889470.00000002
ACETAZOLAMIDE,DIAMOX SEQUELS,263,118858.77
ACETIC ACID,ACETIC ACID,23051,432250.42000000016
ACETIC ACID/ALUMINUM ACETATE,ACETIC ACID-ALUMINUM,1191,67481.65000000001
ACETIC ACID/HYDROCORTISONE,ACETASOL HC,28,2561.9700000000003
ACETIC ACID/HYDROCORTISONE,HYDROCORTISONE-ACETIC ACID,6659,712017.3799999997
ACETYLCYSTEINE,ACETYLCYSTEINE,13886,610751.5900000003
ACITRETIN,ACITRETIN,17443,14871437.489999996
ACITRETIN,SORIATANE,410,514817.04999999993
ACLIDINIUM BROMIDE,TUDORZA PRESSAIR,191756,62420384.139999904
ACYCLOVIR,ACYCLOVIR,914038,31695934.209999837
ACYCLOVIR,ZOVIRAX,2509,2133945.8299999996
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,44,3068.34
ACYCLOVIR/HYDROCORTISONE,XERESE,14,11302.18
ADALIMUMAB,HUMIRA,70507,282076680.89000016
ADALIMUMAB,HUMIRA PEN,244262,982918330.2599995
ADALIMUMAB,HUMIRA PEN CROHN'S-UC-HS,25,205782.7
ADALIMUMAB,HUMIRA PEN PSORIASIS,128,839831.3300000001
ADAPALENE,ADAPALENE,1251,221295.04000000007
